query,category,document_id,review_id,product_id,rating,rank,text,relevance_label,reviewer_notes
What shipping-related concerns do reviewers express about broken food items?,thematic,review_414bc067bdd388c4,255341,B000F4SVV6,1.0,3,"MOST WERE BROKE (LIKE 80%). BUY DIRECT FROM SPANGLER NEXT TIME :(
WAS VERY DISAPPOINTED. RECEIVED CANDY CANES AND ABOUT 80% WERE BROKEN. NOT JUST BROKEN BUT EACH CANE WAS IN SEVERAL PIECES. CAN'T USE THE 80% FOR OUR CHURCH CHRISTMAS PROGRAM HAND OUT SO I HAVE NO IDEA WHAT TO DO WITH THEM BESIDES PUT INTO COOKIES OR SOMETHING. ANYWAYS, WILL BUY DIRECT FROM SPANGLER NEXT TIME. IN THE PAST THEIR PACKAGING INSURED ABOUT 10% WASTE. THANKS ANYWAY, THAT'S WHAT YOU GET FOR TRYING TO SAVE 20 DOLLARS.",,
What shipping-related concerns do reviewers express about broken food items?,thematic,review_43c5319c43ae4d2d,106117,B000YHNQSC,4.0,4,"So far, So good!
The item was received in less time than expected (3 days).  The only problem, is this item is a gift, so I was unable to actually taste!  Although the box and items had no dents or broken items within.  I'm happy with it as of now.",,
What shipping-related concerns do reviewers express about broken food items?,thematic,review_fffc3905e1b5c6b9,440105,B005ZBZLSU,5.0,5,"Love these
Deep, dark, rich flavor. I appreciate the reduced packaging which is environmentally friendly, and as a side benefit takes up less space.  What I really like about these, besides the great flavor (best tasting K-cups I've found so far) is that there is just the filter on the bottom. I've always had some un-addressed concerns about the composition of the plastic that other k-cups are made of, and what may be leaching into my beverage from the hot water passing over the coffee.  Look for these at costco where a 80 pack is 25$ (look around, not all stores carry them), but even on amazon it's a good deal with shipping included.",,
What shipping-related concerns do reviewers express about broken food items?,thematic,review_60fbc63d7e85cc3a,461933,B000N4M6XC,5.0,6,"Great products, great prices!
Well, I bought 8 diff. items and all of them arrived in time and in good condition.<br /><br />Regarding shipping charges ...<br /><br />I almost went away from this shop after having seen the shipping charge >  $ 7.94<br />But I'm glad I realized the charge isn't per item.<br /><br />Means, I did not pay 8 times  $ 7.94  for shipping, I paid one time  $ 7.94 only for all eight different !  items.",,
What shipping-related concerns do reviewers express about broken food items?,thematic,review_f70fdbc83b8ee17c,277401,B000VK8AVK,5.0,7,"Pop Chips are great
Popchips are great. I got the barbeque in the single serving, 100 calorie size.  It's the best way to get 100 calories I know of!  They were not broken or squashed in shipping either. Amazon is always careful about that. I'd buy them again.",,
What shipping-related concerns do reviewers express about broken food items?,thematic,review_27197b627305fa17,6090,B000EMM9DU,5.0,8,"Good stuff BUT....
Packed poorly in shipping and a few had the seal broken because they were rolling around in the box!",,
What shipping-related concerns do reviewers express about broken food items?,thematic,review_5ce1790fa390c538,345772,B00433YTRA,2.0,9,"Stronger flavor than most
Be aware that Amazon LLC does not include ice packs in packaging and does not refrigerate this product. I will not get this specific brand again, nor purchase items that should be kept cold from amazon in the future. I gave it 2 stars because amazon was quick in replacing it, but food items can't be returned which is what I would've preferred.",,
What shipping-related concerns do reviewers express about broken food items?,thematic,review_296e6006312b2456,291667,B000W7WQX0,3.0,10,"Not a mindless snack!
Corn Nuts are delicious, enjoyable and addictive. However, I have TWICE broken teeth with them, including today. Do not mindlessly chomp away at these snacks. I'm not being overly zealous with my suggestion that you only eat a few at a time and let them soften in your mouth before chewing too forcefully. This is the only food that has broken a tooth and it has twice!",,
What do customers praise about product freshness?,positive_feature,review_d48f4a95a59bcd79,71264,B0041CH3NU,1.0,1,"Disappointed
I was just deceived... I'm pregnant and have a craving for caviar, but can't eat any raw fish products. So the only option for me is pasteurized caviar. The description of the product here states that this romanoff caviar is pasteurized, but when I got it I didn't find any mention about pasteurization on the jar or packing! So, I can't eat it. It's not cheap, but I don't want spent more money on return shipment, so don't know what to do with it...<br />Shame on you, seller, for deceiving your customers!",,
What do customers praise about product freshness?,positive_feature,review_a895535f0f03e52c,432046,B0052OUAOK,1.0,2,"WARNING! Product changed without advising once-loyal customers!!
WARNING!! Without changing the look of the packaging, Greens+ has changed the ingredients and has ruined a once-great bar (I along with other loyal customers I knew would order them by the boxload). Supposedly to ""increase production,"" they've ruined the 40:30:30 balance, adding far more calories, fat, and carbs, while decreasing protein content. Sad, as they were once the perfect energy bar... I'm still in mourning. I am sending all boxes back directly to the company. Hopefully, if enough people do so, they can be persuaded to continue manufacturing the old formula, as I'm willing to wait and stock up on the original product, but not this pale imitation...",,
What do customers praise about product freshness?,positive_feature,review_b701f19fe2496997,202654,B001EO5TJ8,5.0,3,"Good product
Most Earl Grey teas taste similar. This product has a sense of freshness that reflects Earl Grey at its best, and is reasonably priced. To those who do not regularly use loose tea, the tea bag (Teebeutel, sachet) definitely does not taste as crisp and refreshing as the comparable tea when brewed as loose tea.",,
What do customers praise about product freshness?,positive_feature,review_963ff2800f09bea2,108481,B00283A5RA,5.0,4,"Fresh, Huge, Tasty
Would buy these again. Great quality and freshness. Not too salty or oily and they are about as jumbo as you can get.",,
What do customers praise about product freshness?,positive_feature,review_392c11522b0914aa,246118,B000EEWZG4,1.0,5,"Oops! My mistake: CONTAINS BPA! Goodbye to this product!
UPDATE: BUT 5 stars GO TO AMAZON WHO ISSUED A CREDIT FOR MY LAST ORDER OF THIS PRODUCT! GOOD WORK AND THANK YOU AMAZON, I AM IMPRESSED!!! -Mo<br />..........................................<br /><br />(change from 5 stars to 1) CANCEL THIS PRAISE OF THIS PRODUCT! It DOES contain BPA! -Mo<br />..........................................<br /><br />This is *great* fish; no BPA, no added salt (*I* choose what and if salt is added), I LOVE lots of eatable fish bones (top calcium availability), congratulations Crown Prince and thank you for canning fish I can eat without BPA!",,
What do customers praise about product freshness?,positive_feature,review_a1e709d7acf5549b,242132,B005X4STQ0,5.0,6,"coffee
the coffee is shipped in 4 boxes each pod is wrapped for freshness the cup of coffee tastes real good I do not add sugar or cream so I know its a good cup of coffee",,
What do customers praise about product freshness?,positive_feature,review_d519462c64f2bbd8,64849,B000EMM96W,1.0,7,"Charging for Flavor
How come Blueberry now (2011) cost more then Banana Nut or Chocolate Chip. It is the same product , the same company and the same size, the only difference is the flavor. Customers should not have to pay extra for a different flavor.  Were do Amazon get this from.<br />This is like charging $.50 for a pack of tropical punch Kool-aid, $.40 for a pack of orange, and $.30 for a pack of Wild Berry, mind you that it is all the same size.  What is this?, is it that Blueberry taste better then Banana Nut? So Amazon is charging for the flavor. What the Hey? Amazon gets to say which flavor is better.<br />This is like saying Coke is better then Pepsi, this is not for Amazon to decide.",,
What do customers praise about product freshness?,positive_feature,review_a7713aaaa82abda4,148094,B002FBY3GE,3.0,8,"Mrs Mays Trio Bars
When they arrive and are fresh, you can't beat them. When they arrive and are obviously old and out of date, you want to beat them just to avoid cracking a tooth. I am thinking about getting away from this product due to inconsistency with Amazon delivery and freshness.<br /><br />I would say: Buyer Beware",,
What do customers praise about product freshness?,positive_feature,review_33868db66b06f3c2,385607,B001EQ5CIO,5.0,9,"Favorite Organic Coffee
Some very delicious french roast in these here green bags. In combination with my Aeropress I couldn't be happier. Every shipment I have received of these beans has been fresh, aromatic, and oily. Nothing but praise for this consistently delicious bean. If you are hunting around for a nice organic roast, you could do a lot worse than diving into a bag of Jeremiah's Pick French Roast.",,
What do customers praise about product freshness?,positive_feature,review_833de8f776c283d0,144496,B004XE0EHI,5.0,10,"Retraction off negative feed back
After consulting with the seller I can recommend this product. The product is top shelf and it is everything the seller said it was. Freshness and taste is excellent  I will be glad to order this product again",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_0aeccfd14b5a6499,153426,B001F9QW16,5.0,1,"Great bags!
Just received these bags today. The box they come in is very small and made of 100% recycled material. A bonus in my book. The bags seem to have alot of strength and dont seem like they will rip or break open easily. I just received them today so hopefully after a few uses I can submit more feedback with more positive outcomes.",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_8c5908f0e3352e2a,66362,B001ABUYIQ,2.0,2,"Not that good.
if you want to try an excellent brand La Parisienne Couture Cocoa you will find is the best one on Amazon.<br /><br />So far I have tried:<br /><br />Bellagio Sipping Chocolate<br />Lake Champlain Hot Chocolate Mixes<br />La Parisienne Couture Cocoa (My Favorite)<br />MarieBelle Mocafe Azteca D'oro 1519 Mexican Spiced Ground Chocolate (didn't like at all)<br />Jacques Torres Classic Hot Chocolate<br />Vosges La Parisienne Couture Cocoa<br />Sarabeth's Kitchen Hot Chocolate<br />La Maison du Chocolat Tasse de Chocolat<br /><br />Love to hear others feedback.....",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_40d17861b551784f,490815,B002HFWNAQ,4.0,3,"Nestle Hot Cocoa Mix
I thought that (1)package of cocoa was enough to receive a good chocolate taste, and the marshmallows gave an additional sweetness, for a nice cup of hot cocoa.",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_08ad4b1bdc388548,420449,B008JKSJJ2,5.0,4,"Great product, tastes good
This flavor tastes very good. Great product!!! I subscribed to receive one box every 6 months, very convenient and great service.",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_799ee012b61e532b,449923,B002T0KDNI,1.0,5,"Why?
Even though I opted out of recieving ""email reminders"" to leave feedback/reviews I just received one from this company, so here's my review:<br /><br />I've already left a review for the SodaStream machine, and it is not complimentary due to the monopoly on the CO2.  Had this firm read my recent reviews they would have seen that I dislike being asked to leave feedback and reviews.  It is unprofessional.<br /><br />The product is just ok, but being hounded to leave reviews/feedback prevents even a three star review.  If I were to buy this product again, and that is very doubtful, I'd go back to buying from a brick and mortar retail store, pay a higher price and sales tax.",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_c13fe5d2415fdac5,254956,B003CMLP9I,5.0,6,"Mushroom Salt
My son was delighted to receive this as a gift for Christmas.  Awhile back we were given a gift pack of various salts and this flavor was his favorite.  It quickly was consumed and he commented about how much he missed this item.  Now he has a replenished supply.  We paired it with a bamboo salt box for a really unusual gift.",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_622e31af78530159,246479,B002D4DY8G,5.0,7,"Full flavor and fragrant
Chocolate always compliments coffee.  It's the same case here.  The dark chocolate taste is obvious but not overpowering.  The coffee smells and tastes very smooth.  So, it truly is a good combination for what it is.",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_952791b10cc79d0e,350062,B000EMU2BG,5.0,8,"Good, but Amazon has the flavor names wrong
Flavor names vs flavor photos are pretty confusing. I ordered ""Rich Chocolate"" and received ""Rich Milk Chocolate"". Now that I tasted it it's fine and I realize it's very possible that Nestle stopped making Rich Choc and started these Rich Milk / Rich Dark items, but Amazon should really fix the flavor names so that it's clear what you're getting.",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_d88801b90957f05b,1322,B004EKO2HE,5.0,9,"great tasting cocoa powder
This cocoa powder has a deep, fruity taste- I highly recommend it.  I recently bought a vitamix blender, which means that I now make 5 smoothies a day.  This cocoa powder, plus some almond milk, frozen fruit, yogurt, and a dash of maple syrup, makes an excellent ""milk shake"".  Disclaimer: I like 99.9% of all chocolate, so take this positive review with a grain of salt.",,
What features receive positive feedback about chocolate flavor?,positive_feature,review_d04efdfe48c1b3f4,27784,B002RBTV78,3.0,10,"Lindt is no more!
As much as we liked Lindt chocolates, I am very disappointed that I need to leave this kind of review.<br /><br />Those of us that come from Europe know what good chocolate should taste like. It seems that Lindt is getting too americanized.... chocolate is too sweet and no flavor. Too bad!",,
